"index","hours_studied","avg_exam_score"
"0","43","78"
"1","39","75"
"2","38","73.5"
"3","37","73"
"4","36","70.4285714286"
"5","35","72.3125"
"6","34","71.1875"
"7","33","70.3333333333"
"8","32","71.325"
"9","31","70.5531914894"
"10","30","71.4328358209"
"11","29","70.256097561"
"12","28","69.8256880734"
"13","27","69.7768595041"
"14","26","68.801369863"
"15","25","69"
"16","24","68.4838709677"
"17","23","68.2074688797"
"18","22","67.7215189873"
"19","21","67.7104247104"
"20","20","67.2186379928"
"21","19","67.2117647059"
"22","18","67.024"
"23","17","66.401826484"
"24","16","66.5860465116"
"25","15","65.9010989011"
"26","14","65.8622754491"
"27","13","64.9761904762"
"28","12","64.9661016949"
"29","11","65.1458333333"